# {'n_epoch': 10000, 'learn_rate': 0.0005, 'hidden_dim': 16, 'dropout': 0.2, 'use_loader': False, 'walk_batch': 10000, 'walk_length': 10, 'num_steps': 5, 'residual_prob': 0.1}
idx	Train_Err	Valid_Err	Test_Err	Num_Node
0500	1.9802    	2.1885    	3.4827    	10372.0000
1000	1.2174    	1.5773    	2.3730    	10372.0000
1500	0.9911    	1.1788    	1.5547    	10372.0000
2000	0.9612    	0.8956    	1.1768    	10372.0000
2500	0.9159    	0.8678    	1.0921    	10372.0000
3000	0.8900    	0.9104    	1.1028    	10372.0000
3500	0.8768    	0.8531    	1.0394    	10372.0000
4000	0.8481    	0.8086    	0.9652    	10372.0000
4500	0.8380    	0.8368    	0.9774    	10372.0000
5000	0.8148    	0.8309    	0.9582    	10372.0000
5500	0.8009    	0.8260    	0.9334    	10372.0000
6000	0.7881    	0.8808    	0.9773    	10372.0000
6500	0.7764    	0.9292    	0.9932    	10372.0000
7000	0.7738    	0.8526    	0.9469    	10372.0000
7500	0.7546    	0.8727    	0.9744    	10372.0000
8000	0.7475    	0.8475    	0.9310    	10372.0000
8500	0.7432    	0.7969    	0.8838    	10372.0000
9000	0.7369    	0.8162    	0.9053    	10372.0000
9500	0.7281    	0.7990    	0.9120    	10372.0000
10000	0.7248    	0.7523    	0.8625    	10372.0000

# Best Test_Err: 0.8095412850379944
